tweet_lemmatized,cyberbullying_type
word katandandre food crapilicious mkr,not_cyberbullying
xochitlsuckkks classy whore red velvet cupcake,not_cyberbullying
rudhoeenglish isis account pretend kurdish account like islam lie,not_cyberbullying
itu sekolah ya bukan tempat bully ga jauh kaya neraka,not_cyberbullying
stockputout everything mostly priest,not_cyberbullying
jordisdead http tcousqinywgn,not_cyberbullying
ughhhh mkr,not_cyberbullying
love good response hotcake manage film noncommittal meh adolescent mkr,not_cyberbullying
sarinhacoral victormaggi tadinhu de mim sofrendo bull viu mimi,not_cyberbullying
good pick line hi cute love people call james potter bully mypatronusisyou http tumblrcomxolxlzy,not_cyberbullying
halalcunty biebervalue liamxkiwi greenlinerzjm halalflaw know saudi chase girl burn building http tcobaclczn,not_cyberbullying
still jack amsterdam ciroc crown bud light limearita cru love handle feel jiggle walk,not_cyberbullying
wish arena partner gt gt really want get pvp happen,not_cyberbullying
sanddejesus isso é bullying opatriarca,not_cyberbullying
maxblumenthal cpassevant anadumitrescu posthebdo lol event like daily occurrence around world isolate one,not_cyberbullying
firebomb andaasonsan first time happen probably bad though,not_cyberbullying
contact form site bug turn use email subject prefix break everything silly wordpress,not_cyberbullying
think bxokrissy third period teacher not like always tell go class walk u class,not_cyberbullying
hope round humble girl can not cook mkr,not_cyberbullying
really miss classmate n schoolmate see soon people,not_cyberbullying
mkr promo girl going bring next round yeah bring bring store buy capsicum,not_cyberbullying
fuck paper bullshit,not_cyberbullying
film ini salah satu potret bully dikalangan anak mynameiskhan,not_cyberbullying
let talk mean victim http tcofinazfttt,not_cyberbullying
janaane poise odiei aquilo ele sofria bully de meninas porisso matou muitas meninas mais mesmo assim aquelas crianças nao tinham culpa,not_cyberbullying
giiamarengo le hace bull karoldance por que se gana en todo lados jajajaj dice que los washiturros son flaites jajaj wena,not_cyberbullying
feel perturb woman not humble kindly go set fire,not_cyberbullying
oh hey ashamed disgusting self themajesticplum http tcobobslitug,not_cyberbullying
hayhenne good news ever problem big mean bully know call,not_cyberbullying
glennf spacekatgal rather funny we completely different yet complement skill set well,not_cyberbullying
naderhaq maddr yeap breeding violence thing well,not_cyberbullying
lil bro mackmanee bully last night,not_cyberbullying
jaredchase keep last person alive top damage like not hard,not_cyberbullying
carsalesbossman unlike man can not fix car can not fit giant fucking swell head,not_cyberbullying
turbocunt idea red bean taste like assume taste like bean really bean,not_cyberbullying
bad hoe hoe can not admit hoe,not_cyberbullying
even alle bully beatdown afleveringen gedownload van season en,not_cyberbullying
freaky ass ready ass hoe,not_cyberbullying
colin hot mkr,not_cyberbullying
rt bliggivee round round go stop nobody know much drag mkr,not_cyberbullying
imrbarfield start thursday class cancel tomorrow tho,not_cyberbullying
thing facebook well cause shit promote cyber bullying,not_cyberbullying
meninos tumblr são assim meninas tumblr são assim e eu sou assim isso é bullying http tcodryql,not_cyberbullying
daimau boy gianluca toni class another big ft lunk,not_cyberbullying
serio falsidade é bullying,not_cyberbullying
know nikki remind someone mkr http tcoywjmayphjm,not_cyberbullying
colégio adventistas de são paulo discutem bully bom dia são paulo http tcoyyfpou,not_cyberbullying
kaya faianh nt walk circle around black meteor mecca delusion please god,not_cyberbullying
aalwuhaib know hundred christians single one fit discription,not_cyberbullying
diandrasallini claro que nao mas ela pode falar kkkkkkk agora tudo é bullying kkk,not_cyberbullying
aussietv white mkr theblock imacelebrityau today sunrise studio neighbour wonderlandten etc,not_cyberbullying
jasongio meh p thank head concern another angry dude twitter,not_cyberbullying
rajaaab quickieleak yes test god good bad indifferent weird whatever prove god existence,not_cyberbullying
karma hope bites kat butt nasty mkr,not_cyberbullying
rebecca black drop school due bully,not_cyberbullying
bully flush kd http twitvidcomatnp,not_cyberbullying
rt kurdsnews turkish state kill child last year http tcojlvkeepws news googleçeviricitopluluğukürtçeyidee,not_cyberbullying
yasmimcaci bferrarii parem de fazer bully comigo uhahuah bando de preto,not_cyberbullying
xabaddea kelseytheodore twitter basically angry letter generation,not_cyberbullying
get to walk classss officially hate stupid bus system,not_cyberbullying
kid love mohamad bin zaye city مدينة محمد بن زايد http tcoxrozsnn,not_cyberbullying
scottyswaggod man one go push real change one power generally need help,not_cyberbullying
education nation bully turn http tcosxtiwtp,not_cyberbullying
gcarother eek can not stand split keyboards not work well mmos,not_cyberbullying
know people like joeybadass not listen old school,not_cyberbullying
kamilaarudenko u,not_cyberbullying
thing uber even not horrible sexist shitty company would still,not_cyberbullying
andythewookie quote jack one hand pointing,not_cyberbullying
melissaryan look dc public school bully lgbt student mrhee go http tcozeglm,not_cyberbullying
fuck mkr,not_cyberbullying
hey orange skirt,not_cyberbullying
elephant direct cuntandandre,not_cyberbullying
nowwatching charlie brown thanksgiving classic,not_cyberbullying
mileycyrus juliaallynn ahhhhhmaze lt,not_cyberbullying
one ever helpme like bully alwaysvero,not_cyberbullying
kerala rte lead shut badal school backward area amp parent mostly allow join far away school,not_cyberbullying
look like gypsy sorry sorry,not_cyberbullying
bullshit mkr mkr,not_cyberbullying
do will not bother rest pathetic shit show mkr,not_cyberbullying
sbrew not notice save witty reply sexist little panache not want get reading level,not_cyberbullying
sirajzarook bilalighumman odiniainvictus israeliregime nt faith b tweet incoherent,not_cyberbullying
bahai roflmao time try squeeze logic religious nut crazy isis,not_cyberbullying
follow news report brandonmcinerney shoot death larryking trial http tcowgrutwf gay glbt lgbt bully murder,not_cyberbullying
rt hanarmarouf daesh distrbute steal un humanitarian aid w logo iraq twitterkurd http tcokskglrhjt http tc,not_cyberbullying
wait voting come back school,not_cyberbullying
rt srhbutts ceo sony europe vehemently unequivocally condemn gamergate misogynistic harassment http tcommutay,not_cyberbullying
sleep makeup like ew skin oily next day,not_cyberbullying
juke old oil cliche we pay every drop oil get open market like every country,not_cyberbullying
aposto que vou sofrer bully depois meu próximo tweet,not_cyberbullying
first social test year,not_cyberbullying
self,not_cyberbullying
frio é bully contra os solteiro,not_cyberbullying
amohedin even pickthall englishman muslim convert,not_cyberbullying
mum need college bad handbag mommmmmmm phinkkk lt,not_cyberbullying
really wish could graduate already go college get away sibling sick,not_cyberbullying
good bully stick spotlight breed honor maddie american eskimo always love get email http bitlyrlusm,not_cyberbullying
pratico bully para ser aceito socialmente,not_cyberbullying
realandillusory rant idiot,not_cyberbullying
pussy hoe till get pussy hoe,not_cyberbullying
rt emoroffle freebsdgirl get to love determine good feminist man mentality gg zero selfawareness,not_cyberbullying
